#pathway	#num_genes	#num_pairs	#sum_fractional_group_centrality	#averaged_fractional_group_centrality
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	74	6120	0.060597	0.000819
KEGG_PPAR_SIGNALING_PATHWAY	67	6120	0.011433	0.000171
KEGG_N_GLYCAN_BIOSYNTHESIS	46	6120	0.000095	0.000002
KEGG_SPHINGOLIPID_METABOLISM	40	6120	0.000004	0.000000
KEGG_PRION_DISEASES	33	6120	0.066415	0.002013
KEGG_INSULIN_SIGNALING_PATHWAY	135	6120	0.203790	0.001510
KEGG_PROTEIN_EXPORT	24	6120	0.026095	0.001087
KEGG_HISTIDINE_METABOLISM	29	6120	0.000000	0.000000
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	73	6120	0.203513	0.002788
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	96	6120	0.093364	0.000973
KEGG_P53_SIGNALING_PATHWAY	66	6120	0.099500	0.001508
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	25	6120	0.000000	0.000000
KEGG_ADHERENS_JUNCTION	74	6120	0.296962	0.004013
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	25	6120	0.000000	0.000000
KEGG_CELL_ADHESION_MOLECULES_CAMS	123	6120	0.100355	0.000816
KEGG_TYPE_II_DIABETES_MELLITUS	45	6120	0.054496	0.001211
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	84	6120	0.132616	0.001579
KEGG_THYROID_CANCER	27	6120	0.072698	0.002693
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	67	6120	0.176492	0.002634
KEGG_RIBOFLAVIN_METABOLISM	16	6120	0.000002	0.000000
KEGG_LEISHMANIA_INFECTION	63	6120	0.155469	0.002468
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	83	6120	0.148786	0.001793
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	94	6120	0.166154	0.001768
KEGG_CARDIAC_MUSCLE_CONTRACTION	79	6120	0.015798	0.000200
KEGG_CHEMOKINE_SIGNALING_PATHWAY	186	6120	0.365282	0.001964
KEGG_HUNTINGTONS_DISEASE	184	6120	0.104136	0.000566
KEGG_SMALL_CELL_LUNG_CANCER	83	6120	0.239490	0.002885
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	267	6120	0.014750	0.000055
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	73	6120	0.059047	0.000809
KEGG_GLUTATHIONE_METABOLISM	48	6120	0.000031	0.000001
KEGG_PROPANOATE_METABOLISM	33	6120	0.000172	0.000005
KEGG_LONG_TERM_DEPRESSION	69	6120	0.031439	0.000456
KEGG_MELANOGENESIS	100	6120	0.079691	0.000797
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	114	6120	0.209964	0.001842
KEGG_MISMATCH_REPAIR	23	6120	0.001078	0.000047
KEGG_ECM_RECEPTOR_INTERACTION	80	6120	0.062084	0.000776
KEGG_ASTHMA	25	6120	0.017952	0.000718
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	62	6120	0.001643	0.000026
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	129	6120	0.248342	0.001925
KEGG_MAPK_SIGNALING_PATHWAY	258	6120	0.451263	0.001749
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	16	6120	0.000160	0.000010
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	41	6120	0.033692	0.000822
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	26	6120	0.000000	0.000000
KEGG_FOCAL_ADHESION	197	6120	0.485809	0.002466
KEGG_RENIN_ANGIOTENSIN_SYSTEM	16	6120	0.016466	0.001029
KEGG_TRYPTOPHAN_METABOLISM	40	6120	0.007259	0.000181
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	51	6120	0.000109	0.000002
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	69	6120	0.067406	0.000977
KEGG_ENDOMETRIAL_CANCER	50	6120	0.279341	0.005587
KEGG_RNA_DEGRADATION	59	6120	0.004356	0.000074
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	208	6120	0.304680	0.001465
KEGG_ARACHIDONIC_ACID_METABOLISM	58	6120	0.000004	0.000000
KEGG_NON_SMALL_CELL_LUNG_CANCER	54	6120	0.273042	0.005056
KEGG_STARCH_AND_SUCROSE_METABOLISM	52	6120	0.000094	0.000002
KEGG_PYRUVATE_METABOLISM	40	6120	0.000225	0.000006
KEGG_BASAL_TRANSCRIPTION_FACTORS	36	6120	0.004789	0.000133
KEGG_TGF_BETA_SIGNALING_PATHWAY	81	6120	0.098601	0.001217
KEGG_BUTANOATE_METABOLISM	33	6120	0.000040	0.000001
KEGG_CITRATE_CYCLE_TCA_CYCLE	32	6120	0.000081	0.000003
KEGG_LIMONENE_AND_PINENE_DEGRADATION	10	6120	0.000040	0.000004
KEGG_PYRIMIDINE_METABOLISM	98	6120	0.001445	0.000015
KEGG_GNRH_SIGNALING_PATHWAY	98	6120	0.259710	0.002650
KEGG_BASE_EXCISION_REPAIR	35	6120	0.001159	0.000033
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	38	6120	0.000234	0.000006
KEGG_CELL_CYCLE	126	6120	0.234063	0.001858
KEGG_APOPTOSIS	85	6120	0.194973	0.002294
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	44	6120	0.000040	0.000001
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	15	6120	0.000000	0.000000
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	70	6120	0.000008	0.000000
KEGG_TIGHT_JUNCTION	132	6120	0.150023	0.001137
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	52	6120	0.108060	0.002078
KEGG_PARKINSONS_DISEASE	133	6120	0.006582	0.000049
KEGG_STEROID_HORMONE_BIOSYNTHESIS	55	6120	0.000000	0.000000
KEGG_ALZHEIMERS_DISEASE	168	6120	0.105023	0.000625
KEGG_PHENYLALANINE_METABOLISM	17	6120	0.000195	0.000011
KEGG_ALLOGRAFT_REJECTION	28	6120	0.019797	0.000707
KEGG_HOMOLOGOUS_RECOMBINATION	28	6120	0.000880	0.000031
KEGG_AXON_GUIDANCE	129	6120	0.095611	0.000741
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	138	6120	0.116621	0.000845
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	43	6120	0.019393	0.000451
KEGG_RIBOSOME	88	6120	0.004076	0.000046
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	22	6120	0.000000	0.000000
KEGG_AUTOIMMUNE_THYROID_DISEASE	45	6120	0.020365	0.000453
KEGG_WNT_SIGNALING_PATHWAY	148	6120	0.195601	0.001322
KEGG_PROSTATE_CANCER	84	6120	0.425534	0.005066
KEGG_BETA_ALANINE_METABOLISM	21	6120	0.000062	0.000003
KEGG_NOTCH_SIGNALING_PATHWAY	47	6120	0.068403	0.001455
KEGG_STEROID_BIOSYNTHESIS	17	6120	0.000000	0.000000
KEGG_ARGININE_AND_PROLINE_METABOLISM	52	6120	0.002732	0.000053
KEGG_FOLATE_BIOSYNTHESIS	11	6120	0.001345	0.000122
KEGG_O_GLYCAN_BIOSYNTHESIS	30	6120	0.000000	0.000000
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	15	6120	0.000064	0.000004
KEGG_LYSOSOME	121	6120	0.005413	0.000045
KEGG_TYPE_I_DIABETES_MELLITUS	35	6120	0.010163	0.000290
KEGG_OOCYTE_MEIOSIS	112	6120	0.133365	0.001191
KEGG_LINOLEIC_ACID_METABOLISM	29	6120	0.000000	0.000000
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	78	6120	0.051093	0.000655
KEGG_OXIDATIVE_PHOSPHORYLATION	135	6120	0.000158	0.000001
KEGG_RENAL_CELL_CARCINOMA	68	6120	0.188516	0.002772
KEGG_GAP_JUNCTION	89	6120	0.222968	0.002505
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	134	6120	0.046872	0.000350
KEGG_HEMATOPOIETIC_CELL_LINEAGE	74	6120	0.045176	0.000610
KEGG_INOSITOL_PHOSPHATE_METABOLISM	52	6120	0.008183	0.000157
KEGG_MELANOMA	67	6120	0.214973	0.003209
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	58	6120	0.105740	0.001823
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	16	6120	0.000000	0.000000
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	31	6120	0.000001	0.000000
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	94	6120	0.266427	0.002834
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	16	6120	0.000000	0.000000
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	41	6120	0.000353	0.000009
KEGG_NITROGEN_METABOLISM	23	6120	0.000017	0.000001
KEGG_CHRONIC_MYELOID_LEUKEMIA	71	6120	0.301367	0.004245
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	77	6120	0.000636	0.000008
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	34	6120	0.000442	0.000013
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	68	6120	0.000008	0.000000
KEGG_DORSO_VENTRAL_AXIS_FORMATION	25	6120	0.159811	0.006392
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	21	6120	0.000000	0.000000
KEGG_CIRCADIAN_RHYTHM_MAMMAL	13	6120	0.000333	0.000026
KEGG_PEROXISOME	77	6120	0.010699	0.000139
KEGG_RNA_POLYMERASE	29	6120	0.001130	0.000039
KEGG_ABC_TRANSPORTERS	41	6120	0.002727	0.000067
KEGG_ERBB_SIGNALING_PATHWAY	87	6120	0.331553	0.003811
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	40	6120	0.040250	0.001006
KEGG_VIRAL_MYOCARDITIS	66	6120	0.076314	0.001156
KEGG_SULFUR_METABOLISM	13	6120	0.000000	0.000000
KEGG_OTHER_GLYCAN_DEGRADATION	16	6120	0.000004	0.000000
KEGG_LYSINE_DEGRADATION	43	6120	0.002661	0.000062
