#pathway	#p_value	#num_genes	#num_pairs	#sum_fractional_group_centrality	#averaged_fractional_group_centrality
KEGG_VEGF_SIGNALING_PATHWAY	0.0337	74	6120	0.127855	0.0017
KEGG_FATTY_ACID_METABOLISM	1.0000	42	6120	0.000040	0.0000
KEGG_PRIMARY_IMMUNODEFICIENCY	0.1136	29	6120	0.045035	0.0016
KEGG_PATHWAYS_IN_CANCER	0.0000	312	6120	0.781629	0.0025
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.0114	63	6120	0.141273	0.0022
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	1.0000	9	6120	0.000000	0.0000
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	0.3790	62	6120	0.050757	0.0008
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	0.9991	25	6120	0.000314	0.0000
KEGG_MTOR_SIGNALING_PATHWAY	0.3622	50	6120	0.041610	0.0008
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	0.3863	74	6120	0.060597	0.0008
KEGG_PPAR_SIGNALING_PATHWAY	0.9828	67	6120	0.011433	0.0002
KEGG_N_GLYCAN_BIOSYNTHESIS	1.0000	46	6120	0.000095	0.0000
KEGG_SPHINGOLIPID_METABOLISM	1.0000	40	6120	0.000004	0.0000
KEGG_PRION_DISEASES	0.0499	33	6120	0.066415	0.0020
KEGG_INSULIN_SIGNALING_PATHWAY	0.0252	135	6120	0.203790	0.0015
KEGG_PROTEIN_EXPORT	0.2397	24	6120	0.026095	0.0011
KEGG_HISTIDINE_METABOLISM	1.0000	29	6120	0.000000	0.0000
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.0010	73	6120	0.203513	0.0028
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	0.2587	96	6120	0.093364	0.0010
KEGG_P53_SIGNALING_PATHWAY	0.0763	66	6120	0.099500	0.0015
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	1.0000	25	6120	0.000000	0.0000
KEGG_ADHERENS_JUNCTION	0.0000	74	6120	0.296962	0.0040
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	1.0000	25	6120	0.000000	0.0000
KEGG_CELL_ADHESION_MOLECULES_CAMS	0.4010	123	6120	0.100355	0.0008
KEGG_TYPE_II_DIABETES_MELLITUS	0.1699	45	6120	0.054496	0.0012
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	0.0422	84	6120	0.132616	0.0016
KEGG_THYROID_CANCER	0.0269	27	6120	0.072698	0.0027
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	0.0030	67	6120	0.176492	0.0026
KEGG_RIBOFLAVIN_METABOLISM	1.0000	16	6120	0.000002	0.0000
KEGG_LEISHMANIA_INFECTION	0.0056	63	6120	0.155469	0.0025
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	0.0244	83	6120	0.148786	0.0018
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.0183	94	6120	0.166154	0.0018
KEGG_CARDIAC_MUSCLE_CONTRACTION	0.9804	79	6120	0.015798	0.0002
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.0005	186	6120	0.365282	0.0020
KEGG_HUNTINGTONS_DISEASE	0.7896	184	6120	0.104136	0.0006
KEGG_SMALL_CELL_LUNG_CANCER	0.0004	83	6120	0.239490	0.0029
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	1.0000	267	6120	0.014750	0.0001
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.3879	73	6120	0.059047	0.0008
KEGG_GLUTATHIONE_METABOLISM	1.0000	48	6120	0.000031	0.0000
KEGG_PROPANOATE_METABOLISM	1.0000	33	6120	0.000172	0.0000
KEGG_LONG_TERM_DEPRESSION	0.7708	69	6120	0.031439	0.0005
KEGG_MELANOGENESIS	0.4075	100	6120	0.079691	0.0008
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	0.0082	114	6120	0.209964	0.0018
KEGG_MISMATCH_REPAIR	0.9739	23	6120	0.001078	0.0000
KEGG_ECM_RECEPTOR_INTERACTION	0.4256	80	6120	0.062084	0.0008
KEGG_ASTHMA	0.4152	25	6120	0.017952	0.0007
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	1.0000	62	6120	0.001643	0.0000
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0.0032	129	6120	0.248342	0.0019
KEGG_MAPK_SIGNALING_PATHWAY	0.0002	258	6120	0.451263	0.0017
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	0.9928	16	6120	0.000160	0.0000
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	0.3657	41	6120	0.033692	0.0008
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	1.0000	26	6120	0.000000	0.0000
KEGG_FOCAL_ADHESION	0.0000	197	6120	0.485809	0.0025
KEGG_RENIN_ANGIOTENSIN_SYSTEM	0.2556	16	6120	0.016466	0.0010
KEGG_TRYPTOPHAN_METABOLISM	0.9288	40	6120	0.007259	0.0002
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	1.0000	51	6120	0.000109	0.0000
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.2636	69	6120	0.067406	0.0010
KEGG_ENDOMETRIAL_CANCER	0.0000	50	6120	0.279341	0.0056
KEGG_RNA_DEGRADATION	0.9984	59	6120	0.004356	0.0001
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.0089	208	6120	0.304680	0.0015
KEGG_ARACHIDONIC_ACID_METABOLISM	1.0000	58	6120	0.000004	0.0000
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.0000	54	6120	0.273042	0.0051
KEGG_STARCH_AND_SUCROSE_METABOLISM	1.0000	52	6120	0.000094	0.0000
KEGG_PYRUVATE_METABOLISM	1.0000	40	6120	0.000225	0.0000
KEGG_BASAL_TRANSCRIPTION_FACTORS	0.9469	36	6120	0.004789	0.0001
KEGG_TGF_BETA_SIGNALING_PATHWAY	0.1420	81	6120	0.098601	0.0012
KEGG_BUTANOATE_METABOLISM	1.0000	33	6120	0.000040	0.0000
KEGG_CITRATE_CYCLE_TCA_CYCLE	1.0000	32	6120	0.000081	0.0000
KEGG_LIMONENE_AND_PINENE_DEGRADATION	0.9820	10	6120	0.000040	0.0000
KEGG_PYRIMIDINE_METABOLISM	1.0000	98	6120	0.001445	0.0000
KEGG_GNRH_SIGNALING_PATHWAY	0.0001	98	6120	0.259710	0.0027
KEGG_BASE_EXCISION_REPAIR	0.9977	35	6120	0.001159	0.0000
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	0.9999	38	6120	0.000234	0.0000
KEGG_CELL_CYCLE	0.0059	126	6120	0.234063	0.0019
KEGG_APOPTOSIS	0.0044	85	6120	0.194973	0.0023
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	1.0000	44	6120	0.000040	0.0000
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	1.0000	15	6120	0.000000	0.0000
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	1.0000	70	6120	0.000008	0.0000
KEGG_TIGHT_JUNCTION	0.1365	132	6120	0.150023	0.0011
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.0279	52	6120	0.108060	0.0021
KEGG_PARKINSONS_DISEASE	1.0000	133	6120	0.006582	0.0000
KEGG_STEROID_HORMONE_BIOSYNTHESIS	1.0000	55	6120	0.000000	0.0000
KEGG_ALZHEIMERS_DISEASE	0.6887	168	6120	0.105023	0.0006
KEGG_PHENYLALANINE_METABOLISM	0.9927	17	6120	0.000195	0.0000
KEGG_ALLOGRAFT_REJECTION	0.4282	28	6120	0.019797	0.0007
KEGG_HOMOLOGOUS_RECOMBINATION	0.9944	28	6120	0.000880	0.0000
KEGG_AXON_GUIDANCE	0.4861	129	6120	0.095611	0.0007
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	0.3609	138	6120	0.116621	0.0008
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	0.6908	43	6120	0.019393	0.0005
KEGG_RIBOSOME	1.0000	88	6120	0.004076	0.0000
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	1.0000	22	6120	0.000000	0.0000
KEGG_AUTOIMMUNE_THYROID_DISEASE	0.7028	45	6120	0.020365	0.0005
KEGG_WNT_SIGNALING_PATHWAY	0.0505	148	6120	0.195601	0.0013
KEGG_PROSTATE_CANCER	0.0000	84	6120	0.425534	0.0051
KEGG_BETA_ALANINE_METABOLISM	0.9993	21	6120	0.000062	0.0000
KEGG_NOTCH_SIGNALING_PATHWAY	0.0969	47	6120	0.068403	0.0015
KEGG_STEROID_BIOSYNTHESIS	1.0000	17	6120	0.000000	0.0000
KEGG_ARGININE_AND_PROLINE_METABOLISM	0.9990	52	6120	0.002732	0.0001
KEGG_FOLATE_BIOSYNTHESIS	0.7227	11	6120	0.001345	0.0001
KEGG_O_GLYCAN_BIOSYNTHESIS	1.0000	30	6120	0.000000	0.0000
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	0.9959	15	6120	0.000064	0.0000
KEGG_LYSOSOME	1.0000	121	6120	0.005413	0.0000
KEGG_TYPE_I_DIABETES_MELLITUS	0.8095	35	6120	0.010163	0.0003
KEGG_OOCYTE_MEIOSIS	0.1151	112	6120	0.133365	0.0012
KEGG_LINOLEIC_ACID_METABOLISM	1.0000	29	6120	0.000000	0.0000
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	0.5486	78	6120	0.051093	0.0007
KEGG_OXIDATIVE_PHOSPHORYLATION	1.0000	135	6120	0.000158	0.0000
KEGG_RENAL_CELL_CARCINOMA	0.0013	68	6120	0.188516	0.0028
KEGG_GAP_JUNCTION	0.0015	89	6120	0.222968	0.0025
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	0.9597	134	6120	0.046872	0.0003
KEGG_HEMATOPOIETIC_CELL_LINEAGE	0.5996	74	6120	0.045176	0.0006
KEGG_INOSITOL_PHOSPHATE_METABOLISM	0.9685	52	6120	0.008183	0.0002
KEGG_MELANOMA	0.0001	67	6120	0.214973	0.0032
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.0428	58	6120	0.105740	0.0018
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	1.0000	16	6120	0.000000	0.0000
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	1.0000	31	6120	0.000001	0.0000
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	0.0002	94	6120	0.266427	0.0028
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	1.0000	16	6120	0.000000	0.0000
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	1.0000	41	6120	0.000353	0.0000
KEGG_NITROGEN_METABOLISM	1.0000	23	6120	0.000017	0.0000
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.0000	71	6120	0.301367	0.0042
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	1.0000	77	6120	0.000636	0.0000
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	0.9996	34	6120	0.000442	0.0000
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	1.0000	68	6120	0.000008	0.0000
KEGG_DORSO_VENTRAL_AXIS_FORMATION	0.0002	25	6120	0.159811	0.0064
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	1.0000	21	6120	0.000000	0.0000
KEGG_CIRCADIAN_RHYTHM_MAMMAL	0.9508	13	6120	0.000333	0.0000
KEGG_PEROXISOME	0.9937	77	6120	0.010699	0.0001
KEGG_RNA_POLYMERASE	0.9924	29	6120	0.001130	0.0000
KEGG_ABC_TRANSPORTERS	0.9919	41	6120	0.002727	0.0001
KEGG_ERBB_SIGNALING_PATHWAY	0.0000	87	6120	0.331553	0.0038
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.2513	40	6120	0.040250	0.0010
KEGG_VIRAL_MYOCARDITIS	0.1668	66	6120	0.076314	0.0012
KEGG_SULFUR_METABOLISM	1.0000	13	6120	0.000000	0.0000
KEGG_OTHER_GLYCAN_DEGRADATION	1.0000	16	6120	0.000004	0.0000
KEGG_LYSINE_DEGRADATION	0.9961	43	6120	0.002661	0.0001
